user_input,reference
What problem in sequence transduction motivated the development of the Transformer architecture?,"The Transformer was proposed to overcome the limitations of recurrent and convolutional neural networks, particularly their inability to fully parallelize computation and their difficulty in modeling long-range dependencies efficiently."
What is the primary contribution of the paper 'Attention Is All You Need'?,"The paper introduces the Transformer, a sequence transduction architecture that relies entirely on attention mechanisms, eliminating the need for recurrence and convolution while achieving state-of-the-art translation performance."
Which two sequence transduction tasks are primarily discussed in the paper?,The paper primarily focuses on neural machine translation and also demonstrates the effectiveness of the Transformer on English constituency parsing.
Why are recurrent neural networks difficult to parallelize during training?,"RNNs process tokens sequentially, meaning the hidden state at each time step depends on the previous one, preventing parallel computation across sequence positions."
How does the Transformer improve computational parallelism compared to recurrent models?,"Since the Transformer removes recurrence and processes all sequence positions simultaneously using attention mechanisms, computations can be parallelized across the entire sequence."
What overall architecture does the Transformer follow?,The Transformer follows an encoder-decoder architecture consisting of a stack of encoders that process the input sequence and a stack of decoders that generate the output sequence.
How many encoder layers are used in the base Transformer model?,The base Transformer consists of six identical encoder layers.
How many decoder layers are used in the base Transformer model?,The base Transformer consists of six identical decoder layers.
What are the two major sublayers present in every encoder layer?,"Each encoder layer contains a Multi-Head Self-Attention sublayer followed by a Position-wise Feed-Forward Network, with residual connections and layer normalization applied around each sublayer."
What additional sublayer exists in every decoder layer that is not present in the encoder?,Each decoder layer includes an encoder-decoder attention sublayer that allows the decoder to attend to the encoder's output representations.
Why does the decoder contain a masked self-attention mechanism?,"Masking prevents each decoding position from attending to future positions, ensuring predictions depend only on previously generated tokens during training."
What is the purpose of encoder-decoder attention?,Encoder-decoder attention enables the decoder to selectively focus on relevant encoder outputs while generating each target token.
What mechanism replaces recurrence in the Transformer architecture?,"Self-attention replaces recurrence, allowing every token in a sequence to directly attend to every other token."
What does the paper mean by 'attention is all you need'?,The title emphasizes that attention mechanisms alone are sufficient to build an effective sequence transduction model without relying on recurrent or convolutional layers.
What is the dimensionality of the model representations in the base Transformer?,The base Transformer uses a model dimension (d_model) of 512.
What hidden dimension is used in the feed-forward network of the base Transformer?,Each feed-forward network expands the representation to an intermediate dimension of 2048 before projecting it back to the model dimension.
What are residual connections used for in the Transformer?,"Residual connections help stabilize optimization, improve gradient flow and allow deeper models to train more effectively."
Why is Layer Normalization applied after each sublayer?,"Layer Normalization stabilizes training by normalizing activations within each training example, improving convergence."
What are the three different applications of Multi-Head Attention within the Transformer architecture?,"Multi-Head Attention is used for encoder self-attention, decoder masked self-attention and encoder-decoder attention."
What is the objective of the encoder stack?,The encoder transforms the input sequence into contextual representations that capture relationships among all input tokens.
What is the objective of the decoder stack?,The decoder generates the target sequence autoregressively by attending to previously generated outputs and the encoder representations.
Why is the Transformer considered more scalable than recurrent architectures?,Its fully parallelizable computations significantly reduce training time while maintaining strong modeling capability for long-range dependencies.
What property of self-attention allows the Transformer to model distant dependencies effectively?,"Self-attention creates direct interactions between every pair of sequence positions, resulting in short information paths regardless of token distance."
